date;ativos;credito;depositos
2017-12-01;1445;1741;1624
2017-09-01;1434;1751;1606
2017-06-01;1452;1741;1638
2017-03-01;1440;1741;1679
2016-12-01;1451;1742;1712
2016-09-01;1430;1715;1646
2016-06-01;1438;1742;1693
2016-03-01;1335;1648;1570
2015-12-01;1345;1624;1564
2015-09-01;1300;1589;1535
2015-06-01;1361;1647;1623
2015-03-01;1345;1624;1637
2014-12-01;1368;1628;1636
2014-09-01;1386;1617;1634
2014-06-01;1405;1612;1642
2014-03-01;1375;1579;1640
2013-12-01;1380;1566;1657
2013-09-01;1347;1540;1647
2013-06-01;1327;1516;1645
2013-03-01;1326;1474;1636
2012-12-01;1345;1465;1619
2012-09-01;1329;1419;1602
2012-06-01;1304;1405;1576
2012-03-01;1312;1385;1511
2011-12-01;1324;1385;1515
2011-09-01;1291;1359;1488
2011-06-01;1304;1361;1471
2011-03-01;1306;1357;1465
2010-12-01;1309;1360;1456
2010-09-01;1276;1366;1434
2010-06-01;1299;1389;1461
2010-03-01;1313;1374;1478
2009-12-01;1336;1392;1477
2009-09-01;1323;1389;1462
2009-06-01;1310;1394;1487
2009-03-01;1334;1388;1519
2008-12-01;1259;1311;1389
2008-09-01;988;1094;1175
2008-06-01;903;1028;1057
2008-03-01;879;1019;1104
2007-12-01;881;1015;1109
