variavel,tipo,criterio,estatistica_teste,valor_critico,diagnostico
spread,none,AIC,0.365095578273513,-1.95,não-estacionário
selic,none,AIC,-0.933569798255876,-1.95,não-estacionário
pib_mensal,none,AIC,2.1527520047549964,-1.95,não-estacionário
inad,none,AIC,0.22518743454158494,-1.95,não-estacionário
igp,none,AIC,-3.1615664107040478,-1.95,estacionário
ihh,none,AIC,2.5614147995992824,-1.95,não-estacionário
spread,drift,AIC,-0.7576776623182347,-2.89,não-estacionário
selic,drift,AIC,-1.1210078261227263,-2.89,não-estacionário
pib_mensal,drift,AIC,-1.4342987931529954,-2.89,não-estacionário
inad,drift,AIC,-1.4515383653456835,-2.89,não-estacionário
igp,drift,AIC,-4.50231588248884,-2.89,estacionário
ihh,drift,AIC,-0.9258851907667284,-2.89,não-estacionário
spread,trend,AIC,-1.3857415704947598,-3.45,não-estacionário
selic,trend,AIC,-0.8029784050541665,-3.45,não-estacionário
pib_mensal,trend,AIC,-4.2309268927564325,-3.45,estacionário
inad,trend,AIC,-1.1185340363913323,-3.45,não-estacionário
igp,trend,AIC,-4.488657167710665,-3.45,estacionário
ihh,trend,AIC,-2.247541381962472,-3.45,não-estacionário
